Hospital Name,Locality,Charges,Surgery/Treatment Name,Doctor's Name,Hospital Ratings,Doctor’s Review
Kamineni Hospitals,Nellore,"₹5,00,000",Child Vaccination,Dr. Kavitha Reddy,4.4,Expert in cardiology
Andhra Hospitals,Hyderabad,"₹2,00,000",Skin Treatment,Dr. Priya Menon,4.7,Best neurologist
Aayush Hospitals,Nellore,"₹1,50,000",Appendix Surgery,Dr. Sneha Rao,4.6,Expert in cardiology
Sunshine Hospitals,Guntur,"₹1,50,000",Child Vaccination,Dr. Sneha Rao,4.8,Top gynecologist
Andhra Hospitals,Visakhapatnam,"₹5,00,000",Appendix Surgery,Dr. Meera Joshi,4.8,Best orthopedic surgeon
Apollo Hospitals,Tirupati,"₹3,00,000",Child Vaccination,Dr. Kavitha Reddy,3.6,Best orthopedic surgeon
Omni Hospitals,Guntur,"₹1,00,000",Child Vaccination,Dr. Sandeep Varma,3.9,Cardiac specialist
Omni Hospitals,Kakinada,"₹50,000",Ear Surgery,Dr. Priya Menon,4.1,Top gynecologist
Manipal Hospitals,Guntur,"₹5,00,000",Ear Surgery,Dr. Priya Menon,3.7,Experienced general surgeon
Aayush Hospitals,Nellore,"₹1,50,000",Skin Treatment,Dr. Ramesh Kumar,4.7,Best neurologist
Omni Hospitals,Guntur,"₹5,00,000",C-Section Delivery,Dr. Manish Rao,4.3,Top gynecologist
Andhra Hospitals,Kakinada,"₹50,000",Ear Surgery,Dr. Arjun Dev,4.9,ENT Specialist
Andhra Hospitals,Rajahmundry,"₹2,00,000",Knee Replacement,Dr. Priya Menon,4.6,Best neurologist
KIMS Hospitals,Hyderabad,"₹80,000",Chemotherapy,Dr. Anand Sharma,4.5,Pediatric specialist
Sunshine Hospitals,Guntur,"₹50,000",Skin Treatment,Dr. Priya Menon,4.2,Best orthopedic surgeon
Andhra Hospitals,Rajahmundry,"₹1,50,000",Chemotherapy,Dr. Anand Sharma,4.3,Experienced general surgeon
Kamineni Hospitals,Hyderabad,"₹50,000",Brain Surgery,Dr. Sandeep Varma,4,Best orthopedic surgeon
Sunshine Hospitals,Nellore,"₹50,000",Brain Surgery,Dr. Anand Sharma,4.5,Experienced general surgeon
Rainbow Hospitals,Kakinada,"₹5,00,000",Skin Treatment,Dr. Anand Sharma,4,Experienced general surgeon
Rainbow Hospitals,Kakinada,"₹2,00,000",Knee Replacement,Dr. Manish Rao,3.7,Oncology expert
Care Hospitals,Hyderabad,"₹1,00,000",Chemotherapy,Dr. Arjun Dev,4.4,ENT Specialist
Andhra Hospitals,Guntur,"₹80,000",Knee Replacement,Dr. Meera Joshi,4.3,Cardiac specialist
Aayush Hospitals,Nellore,"₹50,000",Ear Surgery,Dr. Meera Joshi,4.5,Top gynecologist
